id,won,queue,batch
03Z1IHI8wGAiBIaBfcYU,234,abu,m01
06m6OCx121bSr9boE01x,695,abu,m02
06pa79MyYKx1HEXf92aH,842,abu,m03
0G1riovxyEPOsivirqDl,910,x1,m04
0GOiJ4NlgVoNoBgTb1EF,221,abu,m05
0MIMj6iz5VmT48YNPnCq,625,apj,m06
0R6K3krRNxpFM21IAOEv,620,x1,m07
0WP2LpVu8I8bVe9lqdkM,731,abu,m08
0XVpp3Yn4InrGttytgRu,725,abu,m09
0bH18OngXxGgFQYLJsWv,753,apj,m10
0gMewLyoO8SukGXZZO80,809,abu,m11
0pq2vcvSX9OQ4qwRIL2B,546,apj,m12
0pz7GZXwQz8w5gVsyaVj,773,abu,m13
0t6gTM6cWeITnJURJy1g,1047,abu,m14
0tYLwlqiBfnPd1MvNkbG,1046,abu,m15
0x1I8gb52sMnLk1zkyXS,839,abu,m16
0zCIbM1mQdYNKGKKTmuO,309,abu,m17
0zk3I0YXBDZVxGmUgi7b,887,x1,m18
16dmC3wBQHQ7PTcZ3A1c,947,apj,m19
1CYbXQTxzibXz7q4cXC6,1030,apj,m20
1EQu9aIoWevX2zNXx9WA,699,apj,m21
1OAiKbr3a8WHu3U6ijHD,497,apj,m22
1YcGzmxasIJKyFrdZizV,549,x1,m23
1Ytft5skYLNXpZRHR1IU,235,abu,m24
1bQ6XJPVRTGfuq73jPOM,421,x1,m25
1bhWcPkImk01dss9C2qX,762,abu,m26
1dyKhn3E01yfCCfEaXNs,199,abu,m27
1mVrJN7F9EwWkKP9RzOT,772,abu,m28
1tWJilA1DluH6epikVSX,722,abu,m29
1tYenK4epbTxUiwxFq4H,348,abu,m30
1vNrviA5JrUCMM8kpdR8,384,abu,m31
21EU9CYScgpgQ01mSHaL,145,abu,m32
25B78M59AAhh6CWVBdAW,353,abu,m33
278VtTklwSs2YEwSpcFS,940,abu,m34
2IAHcRi2g8JATIaOA0Y7,1055,abu,m35
2Kz0l8BzX5PTK8tUCxsR,519,abu,m36
2NbGX5AN3XYTQRIxZvbI,1087,abu,m37
2SlI157zvryB4g4O9BRc,1068,apj,m38
2Vn3CIaPto7W5wEy9XRy,716,abu,m39
2XpdNnw11DU3XB68gvWY,57,abu,m40
2YrRpZ2wU06HJ52E5cr2,608,x1,m41
2c03vRJaWdO8IAmCexvo,442,abu,m42
2mxvWXu1bmrG67OKQhiz,980,apj,m43
2qMASFh2ZtoH628Zz2mi,372,abu,m44
2sJeeu6TYc0uEPFGwk2q,964,abu,m45
2wBtNPEKYTmyfuODqf86,630,apj,m46
2wiN9US33doBoYmXxplX,176,abu,m47
36AZQ0iO3WxEKBb0IVPM,1007,abu,m48
38Gk66Cn5NlusKQIjXiB,954,apj,m49
38xeiuI7JTi6LYzvpTkc,812,abu,m50
3EeGz8eZR444HG4mxWhI,733,x1,m51
3FAFMSAOPcoXptMH5dk7,656,abu,m52
3JsT9nmrsNaIDnPjrYM5,482,abu,m53
3LpJQMmS0df8mC690uqi,888,x1,m54
3OjHH8HSVe6d65oS4reI,552,x1,m55
3QAUeE1idpK12zrjf3c3,686,abu,m56
3VLtnIrPpKHebVOBcCus,436,abu,m57
3Wl0qLEvI4U7f6s0kLKB,592,abu,m58
3XMxnTzPZbixTMLTQnzT,186,abu,m59
3YqzIXWNJQKIrJCXlF49,517,abu,m60
3cQiNBd28CNwX4kfatrI,767,abu,m61
3ddVWZZIipU8aeXbBGBk,843,abu,m62
3dpfcTCkQMZVw7kNlTZj,575,apj,m63
3gIZIKMBxPkHgoSXlc8S,864,abu,m64
3hJ5SUWSTJac2ZoStp5j,859,x1,m65
3jheQaX3yLnBjLyWE0VZ,202,abu,m66
3oXvEakNAIQpJjFXJnV7,535,abu,m67
3pWKsptbiet5UrQLBlRV,916,x1,m68
3t33RA0IZoLV7OBXKukX,274,abu,m69
3wcPS7pLG0IEV8v0JLpw,136,abu,m70
3yYqPGtLc9wY2HjTN69m,386,abu,m71
41DieQjQTeCPop7Bsu7W,726,abu,m72
44r98ORLJCynTQUjENAi,1,x1,m73
